"Date","Application","RevenueType","Appstore","Country","Metric","Currency","Value"
"2014-03-16","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-17","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-18","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-19","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.03
"2014-03-20","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-21","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-22","App3","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-23","App3","share","All Appstores","All Countries","One-Off Revenue",2,3.67
"2014-02-27","App4","share","All Appstores","All Countries","One-Off Revenue",2,3.14
"2014-02-28","App4","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-01","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-02","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-03","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-04","App4","share","All Appstores","All Countries","One-Off Revenue",2,7
"2014-03-05","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-06","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-07","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-08","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-09","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-10","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-11","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-12","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-13","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-14","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-15","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-16","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-17","App4","share","All Appstores","All Countries","One-Off Revenue",2,7.3
"2014-03-18","App4","share","All Appstores","All Countries","One-Off Revenue",2,3.5
"2014-03-19","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-20","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-21","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-22","App4","share","All Appstores","All Countries","One-Off Revenue",2,0
"2014-03-23","App4","share","All Appstores","All Countries","One-Off Revenue",2,7
